County,Confirmed Cases,Probable Cases,Fatalities
Anderson,4130,78,73
Andrews,853,265,33
Angelina,3968,406,167
Aransas,575,150,25
Archer,536,41,6
Armstrong,130,47,6
Atascosa,2380,765,88
Austin,1022,79,15
Bailey,585,219,17
Bandera,508,172,15
Bastrop,3638,743,51
Baylor,107,85,7
Bee,3109,236,50
Bell,15578,427,202
Bexar,104159,16105,1980
Blanco,301,51,9
Borden,28,7,0
Bosque,917,149,20
Bowie,4002,588,135
Brazoria,20610,2024,258
Brazos,13836,476,145
Brewster,666,35,11
Briscoe,78,58,3
Brooks,559,64,29
Brown,1806,1161,75
Burleson,1181,179,20
Burnet,2337,136,30
Caldwell,2712,153,52
Calhoun,1095,172,12
Callahan,447,345,23
Cameron,32231,1214,1102
Camp,639,144,28
Carson,401,153,11
Cass,1056,217,56
Castro,733,283,24
Chambers,1422,68,14
Cherokee,1785,405,92
Childress,1295,42,12
Clay,703,40,11
Cochran,246,45,11
Coke,167,151,10
Coleman,376,112,17
Collin,38455,6967,440
Collingsworth,191,73,8
Colorado,953,86,16
Comal,5624,1858,161
Comanche,883,184,35
Concho,182,83,3
Cooke,2155,313,38
Coryell,4885,178,39
Cottle,139,10,6
Crane,162,213,9
Crockett,179,196,10
Crosby,399,240,22
Culberson,262,9,5
Dallam,716,130,22
Dallas,163133,4740,2422
Dawson,904,170,53
Deaf Smith,2032,625,60
Delta,157,34,3
Denton,35158,2278,405
DeWitt,1198,93,48
Dickens,103,60,7
Dimmit,641,81,13
Donley,167,158,8
Duval,840,76,31
Eastland,644,154,18
Ector,7904,3466,269
Edwards,174,24,2
El Paso,75712,2547,2116
Ellis,11738,1200,194
Erath,2122,643,37
Falls,1340,102,20
Fannin,1711,290,62
Fayette,953,404,41
Fisher,223,22,10
Floyd,352,397,26
Foard,37,10,5
Fort Bend,34786,3134,425
Franklin,471,84,14
Freestone,764,388,28
Frio,1348,354,22
Gaines,410,46,33
Galveston,19368,246,234
Garza,251,201,17
Gillespie,1206,405,24
Glasscock,42,40,1
Goliad,296,70,9
Gonzales,1529,135,25
Gray,2032,273,41
Grayson,6641,1090,199
Gregg,3886,1039,210
Grimes,2284,159,50
Guadalupe,6096,1359,117
Hale,1442,156,132
Hall,317,56,8
Hamilton,485,41,18
Hansford,343,447,17
Hardeman,231,18,10
Hardin,1441,1165,60
Harris,298582,6986,3726
Harrison,2309,719,72
Hartley,395,89,2
Haskell,207,106,17
Hays,11566,672,112
Hemphill,417,34,2
Henderson,2241,147,91
Hidalgo,51433,7903,2017
Hill,2641,319,42
Hockley,2389,453,87
Hood,2864,909,83
Hopkins,1404,514,84
Houston,954,175,26
Howard,2282,1017,88
Hudspeth,549,48,9
Hunt,2930,339,95
Hutchinson,1780,425,56
Irion,31,35,0
Jack,363,47,12
Jackson,999,127,22
Jasper,1208,628,48
Jeff Davis,89,7,2
Jefferson,12026,1127,274
Jim Hogg,383,19,12
Jim Wells,2803,352,67
Johnson,10189,1058,199
Jones,2293,375,35
Karnes,1228,80,26
Kaufman,8299,837,142
Kendall,1073,714,39
Kenedy,15,7,2
Kent,38,19,1
Kerr,1552,881,50
Kimble,163,25,6
King,10,5,0
Kinney,192,5,3
Kleberg,1507,380,62
Knox,136,20,13
La Salle,746,38,20
Lamar,1193,652,103
Lamb,1749,476,72
Lampasas,954,129,16
Lavaca,1432,231,57
Lee,653,361,31
Leon,898,206,27
Liberty,3838,419,105
Limestone,1250,187,31
Lipscomb,245,24,8
Live Oak,671,111,17
Llano,643,185,22
Loving,1,0,0
Lubbock,20027,14953,622
Lynn,375,127,14
Madison,1219,151,18
Marion,294,49,20
Martin,281,201,17
Mason,152,73,3
Matagorda,1823,114,68
Maverick,5136,442,221
McCulloch,348,76,12
McLennan,11853,3098,314
McMullen,53,16,2
Medina,2208,449,59
Menard,118,42,4
Midland,5102,8177,197
Milam,731,286,19
Mills,339,45,13
Mitchell,938,94,17
Montague,1249,202,44
Montgomery,24376,2903,298
Moore,2253,371,62
Morris,537,102,13
Motley,50,61,5
Nacogdoches,3119,438,105
Navarro,2954,1265,70
Newton,216,101,19
Nolan,961,119,31
Nueces,19020,2819,516
Ochiltree,922,123,18
Oldham,125,81,3
Orange,2016,1760,80
Palo Pinto,1741,181,49
Panola,1036,230,46
Parker,7542,1164,103
Parmer,900,360,35
Pecos,864,166,27
Polk,2019,87,69
Potter,12670,234,297
Presidio,492,41,19
Rains,237,22,19
Randall,9981,234,206
Reagan,162,113,7
Real,214,11,12
Red River,360,132,29
Reeves,707,441,34
Refugio,459,38,17
Roberts,54,4,1
Robertson,1116,277,24
Rockwall,6134,848,63
Runnels,586,306,19
Rusk,2225,629,61
Sabine,265,144,19
San Augustine,243,92,26
San Jacinto,669,345,21
San Patricio,2603,77,104
San Saba,378,35,15
Schleicher,93,71,6
Scurry,1691,42,38
Shackelford,74,69,1
Shelby,917,229,42
Sherman,185,34,11
Smith,7573,906,299
Somervell,465,281,9
Starr,5407,1207,210
Stephens,475,158,17
Sterling,45,47,2
Stonewall,52,33,3
Sutton,232,116,6
Swisher,419,350,14
Tarrant,142382,11533,1695
Taylor,5278,4136,230
Terrell,48,6,2
Terry,447,87,45
Throckmorton,36,16,3
Titus,2424,389,52
Tom Green,4066,4674,191
Travis,52899,3646,600
Trinity,469,83,12
Tyler,544,325,15
Upshur,1335,801,38
Upton,57,173,7
Uvalde,1930,76,45
Val Verde,3489,87,164
Van Zandt,1605,242,72
Victoria,5825,590,129
Walker,6655,368,93
Waller,1890,91,23
Ward,463,212,13
Washington,1831,245,64
Webb,27757,336,516
Wharton,2325,114,80
Wheeler,408,53,9
Wichita,7767,229,248
Wilbarger,1246,186,40
Willacy,1855,109,66
Williamson,19954,2361,238
Wilson,1921,423,38
Winkler,407,117,16
Wise,3903,523,77
Wood,1209,127,80
Yoakum,202,30,22
Young,1286,118,32
Zapata,1081,115,23
Zavala,893,103,29
Incomplete Address,9715,3835,5
Total,1620499,182983,31312
